,Unnamed: 0,road,km,type,name,length,condition,lat,lon,model_type,id
725,363.0,N1,294.534,RCC Girder Bridge,Raj Ghata Bridge,30.3,B,22.0695600813559,92.1042754237288,bridge,725
726,,N1,293.834,link,link,1421.0,A,22.07504034467795,92.10138047757864,link,726
727,364.0,N1,293.134,Box Culvert,MITADIGI,12.6,A,22.080520608,92.0984855314285,bridge,727
728,,N1,292.78,link,link,715.0,A,22.08229371978945,92.09584123461374,link,728
729,365.0,N1,292.426,Box Culvert,MITADIGI ACADEMY,2.0,A,22.0840668315789,92.093196937799,bridge,729
730,,N1,291.5725,link,link,1714.0,A,22.08882216601465,92.08685086867425,link,730
731,366.0,N1,290.719,Box Culvert,KOACHIA(MADARBHI,11.2,A,22.0935775004504,92.0805047995495,bridge,731
732,,N1,290.304,link,link,839.0,A,22.0959280352252,92.07765261077475,link,732
733,367.0,N1,289.889,Box Culvert,KARANERHAT CULVERT,7.2,A,22.09827857,92.074800422,bridge,733
734,,N1,289.10900000000004,link,link,1566.0,A,22.10581552755315,92.07374366312766,link,734
735,368.0,N1,288.329,Box Culvert,KARANERHAT CULVERT,5.0,A,22.1133524851063,92.0726869042553,bridge,735
736,,N1,287.908,link,link,855.0,A,22.1169199928859,92.0723287088664,link,736
737,369.0,N1,287.487,Box Culvert,NOYA KHALAR MUK (KARANIERHAT BOX CULVERT,20.4,A,22.1204875006655,92.0719705134775,bridge,737
738,,N1,287.31550000000004,link,link,361.0,A,22.1217825498186,92.07183578090326,link,738
739,370.0,N1,287.144,Box Culvert,NOYAKHALARMUK,15.4,A,22.1230775989717,92.071701048329,bridge,739
740,,N1,286.8875,link,link,535.0,A,22.125405700001302,92.0713511379789,link,740
741,371.0,N1,286.631,RCC Girder Bridge,NOYAKHALAR MUK,28.0,A,22.1277338010309,92.0710012276288,bridge,741
742,,N1,286.5045,link,link,284.0,A,22.12882491480115,92.07080184952865,link,742
743,372.0,N1,286.378,PC Girder Bridge,PATANER PULL(BRIDGE,34.6,A,22.1299160285714,92.0706024714285,bridge,743
744,,N1,286.229,link,link,323.0,A,22.131218435714253,92.07037950403719,link,744
745,373.0,N1,286.08,Box Culvert,PATATR PULL CULVERT,15.4,A,22.1325208428571,92.0701565366459,bridge,745
746,,N1,285.83,link,link,514.0,A,22.1347365378956,92.07004333239479,link,746
747,374.0,N1,285.58,Box Culvert,MOULOVER DOKAN,12.4,A,22.1369522329341,92.0699301281437,bridge,747
748,,N1,284.85699999999997,link,link,1457.0,A,22.1434022737486,92.06978159999414,link,748
749,375.0,N1,284.134,Box Culvert,KATGOR CULVERT,9.2,A,22.1498523145631,92.0696330718446,bridge,749
750,,N1,283.564,link,link,1250.0,A,22.1542397976041,92.06891969076099,link,750
751,376.0,N1,282.994,RCC Girder Bridge,Sangu Bridge,211.0,B,22.1586272806451,92.0682063096774,bridge,751
752,,N1,281.6465,link,link,2807.0,A,22.1662725880879,92.06074942662639,link,752
753,377.0,N1,280.299,Box Culvert,NOYARHAT,12.3,B,22.1739178955307,92.0532925435754,bridge,753
754,,N1,278.28999999999996,link,link,4029.0,A,22.189450827655648,92.0458118887895,link,754
755,378.0,N1,276.281,Box Culvert,KHOLGHAR CUL,9.2,B,22.2049837597806,92.0383312340036,bridge,755
756,,N1,276.11199999999997,link,link,368.0,A,22.206043206813348,92.0373318519668,link,756
757,379.0,N1,275.943,RCC Girder Bridge,Mazar Point Bridge,50.8,D,22.2071026538461,92.03633246993,bridge,757
758,,N1,275.30150000000003,link,link,1313.0,A,22.21134500216575,92.0326777546737,link,758
759,380.0,N1,274.66,Box Culvert,GASBAREA COLLEGE BOX CULVERT,9.2,A,22.2155873504854,92.0290230394174,bridge,759
760,,N1,274.269,link,link,794.0,A,22.21892967014065,92.02820081868825,link,760
761,381.0,N1,273.878,Box Culvert,GASBAREA BOX CULVERT,14.0,A,22.2222719897959,92.0273785979591,bridge,761
762,,N1,273.66049999999996,link,link,447.0,A,22.22416642132815,92.02692181682849,link,762
763,382.0,N1,273.443,Box Culvert,NORTH JOARA PAKKAR DOKAN,9.4,B,22.2260608528604,92.0264650356979,bridge,763
764,,N1,273.2255,link,link,446.0,A,22.22877933777275,92.0257153484045,link,764
765,383.0,N1,273.008,Steel Beam & RCC Slab,Kanchon Nagar Bridge,12.7,B,22.2314978226851,92.0249656611111,bridge,765
766,,N1,272.682,link,link,665.0,A,22.23406618796125,92.02411520501595,link,766
767,384.0,N1,272.356,Box Culvert,KANCHANAGAR CUL,14.0,A,22.2366345532374,92.0232647489208,bridge,767
768,,N1,272.123,link,link,480.0,A,22.2385103554287,92.0225282912662,link,768
769,385.0,N1,271.89,Box Culvert,ROWSONAT CUL,14.0,A,22.24038615762,92.0217918336116,bridge,769
770,,N1,271.26599999999996,link,link,1260.0,A,22.2445495862681,92.01881296809955,link,770
771,386.0,N1,270.642,Box Culvert,MOJAFFORABAD,9.4,A,22.2487130149162,92.0158341025875,bridge,771
772,,N1,270.31600000000003,link,link,660.0,A,22.25091648815715,92.01390298776789,link,772
773,387.0,N1,269.99,Box Culvert,MOJAFFORABAD BOX CULVERT,6.0,A,22.2531199613981,92.0119718729483,bridge,773
774,,N1,269.8555,link,link,277.0,A,22.25402872193035,92.0111370008398,link,774
775,388.0,N1,269.721,Box Culvert,MOJAFFARABAD,9.2,A,22.2549374824626,92.0103021287313,bridge,775
776,,N1,269.46000000000004,link,link,532.0,A,22.2569945340884,92.0092066262704,link,776
777,389.0,N1,269.199,Box Culvert,AJIMPUR CUL,9.8,C,22.2590515857142,92.0081111238095,bridge,777
778,,N1,269.0765,link,link,257.0,A,22.26010648015545,92.0077073538402,link,778
779,390.0,N1,268.954,RCC Girder Bridge,KHORNA BVS STATION,14.8,C,22.2611613745967,92.0073035838709,bridge,779
780,,N1,268.38599999999997,link,link,1145.0,A,22.2661254747983,92.00645041693545,link,780
781,391.0,N1,267.818,Box Culvert,KHORNA CULVERT,3.0,A,22.2710895749999,92.00559725,bridge,781
782,,N1,267.121,link,link,1402.0,A,22.27611602214855,92.0025772098108,link,782
783,392.0,N1,266.424,Box Culvert,KOMOLMUNSHE HAT BOX CULVERT,14.0,B,22.2811424692972,91.9995571696216,bridge,783
784,,N1,265.95349999999996,link,link,978.0,A,22.283537242731903,91.99593318381079,link,784
785,393.0,N1,265.483,PC Girder Bridge,SRIMI BRIDGE,60.5,C,22.2859320161666,91.992309198,bridge,785
786,,N1,264.92600000000004,link,link,1150.0,A,22.288538607953903,91.98783801161315,link,786
787,394.0,N1,264.369,Box Culvert,PALYA BUS STATION,12.4,A,22.2911451997412,91.9833668252263,bridge,787
788,,N1,263.2425,link,link,2285.0,A,22.29587340207055,91.97460629891316,link,788
789,395.0,N1,262.116,PC Girder Bridge,PATIYA BRIDGE,50.8,C,22.3006016043999,91.9658457726,bridge,789
790,,N1,260.95550000000003,link,link,2348.0,A,22.30452050716175,91.95711723528215,link,790
791,396.0,N1,259.795,Box Culvert,UZIRPUR HIGH SCHOOL,3.0,A,22.3084394099236,91.9483886979643,bridge,791
792,,N1,258.8675,link,link,1859.0,A,22.311097985361748,91.94118596458216,link,792
793,397.0,N1,257.94,Steel Beam & RCC Slab,Pirol,5.3,A,22.3137565607999,91.9339832312,bridge,793
794,,N1,257.41499999999996,link,link,1054.0,A,22.3147516848736,91.9291678221789,link,794
795,398.0,N1,256.89,Box Culvert,UTTOR SONAPUR,3.0,A,22.3157468089473,91.9243524131578,bridge,795
796,,N1,256.634,link,link,515.0,A,22.314750746028352,91.92233502548481,link,796
797,399.0,N1,256.378,Box Culvert,MONSHA CULVERT,3.0,A,22.3137546831094,91.9203176378118,bridge,797
798,,N1,255.9415,link,link,880.0,A,22.3110368354226,91.91726646937761,link,798
799,400.0,N1,255.505,Box Culvert,MUNSHA BOX CULVERT(L,10.8,B,22.3083189877358,91.9142153009434,bridge,799
800,401.0,N1,255.505,Box Culvert,tassi bazer(R,3.0,A,22.3083189877358,91.9142153009434,bridge,800
801,,N1,254.91899999999998,link,link,1175.0,A,22.30592776898255,91.90931901136615,link,801
802,402.0,N1,254.333,Box Culvert,KUSUMPUR BOX CULVERT,3.0,A,22.3035365502293,91.9044227217889,bridge,802
803,,N1,254.055,link,link,559.0,A,22.30281956421155,91.90184050208384,link,803
804,403.0,N1,253.777,Box Culvert,SHANTERHAT BOX CULVERT,3.1,B,22.3021025781938,91.8992582823788,bridge,804
805,,N1,253.1415,link,link,1274.0,A,22.30046975063535,91.8933047823343,link,805
806,404.0,N1,252.506,Box Culvert,SHANTERHAT CULVERT,3.0,B,22.2988369230769,91.8873512822898,bridge,806
807,,N1,252.022,link,link,1028.0,A,22.2975533965194,91.88405204228555,link,807
808,405.0,N1,251.538,PC Girder Bridge,SHIKALBAHA BRIDGE,116.5,C,22.2962698699619,91.8807528022813,bridge,808
809,,N1,251.4095,link,link,317.0,A,22.2953676113168,91.87873538682766,link,809
810,406.0,N1,251.281,Box Culvert,SHIKALBAHA BOX CULVERT,3.0,A,22.2944653526717,91.876717971374,bridge,810
811,,N1,251.061,link,link,443.0,A,22.2935366414365,91.87486904452365,link,811
812,407.0,N1,250.841,Box Culvert,SHIKALBAHA MORE,3.0,A,22.2926079302013,91.8730201176733,bridge,812
813,,N1,250.68,link,link,325.0,A,22.292125035688848,91.87165562942485,link,813
814,408.0,N1,250.519,Box Culvert,NOLBILA CULVERT,3.0,A,22.2916421411764,91.8702911411764,bridge,814
815,,N1,250.36700000000002,link,link,306.0,A,22.292439386044848,91.86936360314084,link,815
816,409.0,N1,250.215,Slab Culvert,ISLAMPUR CULVERT,1.5,A,22.2932366309133,91.8684360651053,bridge,816
817,,N1,249.9445,link,link,543.0,A,22.295385828484797,91.86739954830965,link,817
818,410.0,N1,249.674,Box Culvert,KADUMTOLI CULVERT,3.0,A,22.2975350260563,91.866363031514,bridge,818
819,,N1,249.51100000000002,link,link,330.0,A,22.2989100777039,91.86583053111535,link,819
820,411.0,N1,249.348,Box Culvert,SHIKALBAHA BOX CULVERT,5.7,B,22.3002851293515,91.8652980307167,bridge,820
821,,N1,249.19400000000002,link,link,312.0,A,22.3014543408893,91.864431363902,link,821
822,412.0,N1,249.04,Box Culvert,SOUTH MITTACHORI,3.0,A,22.3026235524271,91.8635646970873,bridge,822
823,,N1,248.7695,link,link,550.0,A,22.30454065421355,91.86200686254365,link,823
824,413.0,N1,248.499,Box Culvert,SHIKALBAHA,15.2,C,22.306457756,91.860449028,bridge,824
825,,N1,248.06799999999998,link,link,875.0,A,22.309692134451602,91.8583154720645,link,825
826,414.0,N1,247.637,RCC Girder Bridge,SHIKALBAHA BRIDGE,11.0,C,22.3129265129032,91.856181916129,bridge,826
827,,N1,246.82850000000002,link,link,2080.0,A,22.3197858249092,91.854470653134,link,827
828,415.0,N1,246.02,Truss With Timber Deck,Hajrath Sha Amanath Satu,914.0,C,22.3266451369152,91.852759390139,bridge,828
829,,N1,245.4975,link,link,1527.0,A,22.330780236885403,91.85307864726019,link,829
830,416.0,N1,244.975,RCC Girder Bridge,Rajakhali Bridge,49.31,C,22.3349153368556,91.8533979043814,bridge,830
831,,N1,244.9155,link,link,164.0,A,22.3353413292525,91.85362579858244,link,831
832,417.0,N1,244.856,RCC Girder Bridge,Tulatuli Bridge,40.38,C,22.3357673216494,91.8538536927835,bridge,832
833,,N1,244.61149999999998,link,link,529.0,A,22.33765333625465,91.85362042538435,link,833
834,418.0,N1,244.367,RCC Girder Bridge,5 No hafez bazar Bridge,39.67,C,22.3395393508599,91.8533871579852,bridge,834
835,,N1,243.6325,link,link,1496.0,A,22.34590341116765,91.85300460391059,link,835
836,419.0,N1,242.898,RCC Girder Bridge,BAKULIA BRIDGE,14.7,B,22.3522674714754,91.852622049836,bridge,836
837,,N1,242.457,link,link,892.0,A,22.356086607037298,91.85244577082655,link,837
838,420.0,N1,242.016,Box Culvert,BOALIA BOX CULVERT,4.65,C,22.3599057425992,91.8522694918171,bridge,838
839,,N1,236.99099999999999,link,link,10054.0,A,22.36479493512935,91.8130976813695,link,839
840,421.0,N1,231.966,Box Culvert,CORNAIL HAT BOX CULVERT,3.0,A,22.3696841276595,91.7739258709219,bridge,840
841,,N1,231.4435,link,link,1051.0,A,22.374692655163052,91.7704867621276,link,841
